subject,female,eg,soep,easy,alreadybombed,safe,treatment
11533,1,5,2,7,0,0,3
21533,0,2,8,2,0,0,3
31533,1,5,4,0,0,0,3
41533,1,2,2,2,0,0,3
51533,1,2,6,3,0,0,3
61533,1,5,5,5,0,0,3
71533,1,2,3,2,1,0,3
81533,1,4,3,2,0,0,3
91533,0,1,8,6,0,0,3
101533,1,5,8,3,0,0,3
111533,0,4,8,1,0,0,3
131533,1,3,5,1,0,0,3
11437,0,2,2,4,0,0,3
21437,1,2,4,2,0,0,3
31437,0,5,5,5,0,0,3
51437,1,4,7,1,0,0,3
61437,1,3,2,4,0,0,3
71437,1,2,2,1,0,0,3
81437,0,4,4,2,0,0,3
91437,1,2,5,2,0,0,3
101437,0,4,7,1,0,0,3
111437,1,3,3,0,0,0,3
121437,1,3,3,2,1,0,3
131437,1,3,6,3,0,0,3
141437,1,2,3,2,0,0,3
151437,0,3,4,1,0,0,3
161437,0,3,8,1,0,0,3
181437,1,2,5,5,0,0,3
11235,0,5,3,0,0,0,3
21235,1,1,3,1,0,0,3
31235,0,5,9,0,1,0,3
41235,1,5,7,2,0,0,3
71235,0,5,6,0,1,0,3
81235,1,2,3,1,0,0,3
91235,0,4,6,1,0,0,3
101235,1,3,3,2,0,0,3
111235,1,2,3,2,0,0,3
121235,1,2,7,2,0,0,3
131235,0,5,4,1,0,0,3
141235,0,5,7,3,0,0,3
151235,0,2,3,1,0,0,3
161235,0,2,6,4,0,0,3
171235,1,2,6,3,0,0,3
181235,1,4,7,1,0,0,3
11633,1,1,5,1,0,0,3
21633,1,3,3,1,0,0,3
31633,1,2,3,1,0,0,3
51633,0,3,4,1,0,0,3
61633,0,3,5,3,0,0,3
71633,1,3,7,0,0,0,3
91633,1,4,3,2,0,0,3
101633,1,2,2,2,0,0,3
111633,0,3,5,1,0,0,3
121633,0,2,4,2,0,0,3
131633,0,5,2,2,0,0,3
141633,1,2,2,4,1,0,3
151633,1,2,4,9,0,0,3
161633,0,5,4,2,0,0,3
11535,0,2,2,6,0,0,3
31535,1,2,5,0,0,0,3
81535,1,2,2,1,0,0,3
